index,Year,Storm Name,Start Date,End Date,Dates,Max Wind Speed (mph),Min pressure (mb),Storm Type
70,1958,BECKY,08-08-58,08-17-58,8/8 - 8/17,60,1004.0,Tropical Storm
71,1958,CLEO,08-11-58,08-22-58,8/11 - 8/22,120,947.0,Hurricane
72,1958,DAISY,08-23-58,08-31-58,8/23 - 8/31,115,948.0,Hurricane
73,1958,ELLA,08-30-58,09-07-58,8/30 - 9/7,95,983.0,Hurricane
74,1958,FIFI,09-04-58,09-11-58,9/4 - 9/11,75,1000.0,Hurricane
75,1958,GERDA,09-14-58,09-22-58,9/14 - 9/22,50,1001.0,Tropical Storm
76,1958,ILSA,09-24-58,09-30-58,9/24 - 9/30,95,956.0,Hurricane
77,1958,HELENE,09-21-58,10-04-58,9/21 - 10/4,130,930.0,Hurricane
78,1958,JANICE,10-04-58,10-13-58,10/4 - 10/13,85,968.0,Hurricane
79,1959,ARLENE,05-28-59,06-02-59,5/28 - 6/2,55,993.0,Tropical Storm
80,1959,BEULAH,06-15-59,06-19-59,6/15 - 6/19,60,985.0,Tropical Storm
81,1959,CINDY,07-04-59,07-12-59,7/4 - 7/12,65,995.0,Hurricane
82,1959,DEBRA,07-22-59,07-27-59,7/22 - 7/27,75,980.0,Hurricane
83,1959,EDITH,08-18-59,08-19-59,8/18 - 8/19,50,1007.0,Tropical Storm
84,1959,FLORA,09-09-59,09-13-59,9/9 - 9/13,65,994.0,Hurricane
85,1959,GRACIE,09-20-59,10-02-59,9/20 - 10/2,115,951.0,Hurricane
86,1959,HANNAH,09-27-59,10-08-59,9/27 - 10/8,105,959.0,Hurricane
87,1959,IRENE,10-06-59,10-09-59,10/6 - 10/9,40,1000.0,Tropical Storm
88,1959,JUDITH,10-14-59,10-22-59,10/14 - 10/22,75,988.0,Hurricane
89,1960,ABBY,07-09-60,07-17-60,7/9 - 7/17,70,995.0,Hurricane
90,1960,BRENDA,07-27-60,08-07-60,7/27 - 8/7,60,976.0,Tropical Storm
91,1960,CLEO,08-17-60,08-21-60,8/17 - 8/21,75,995.0,Hurricane
92,1960,DONNA,08-29-60,09-14-60,8/29 - 9/14,125,930.0,Hurricane
93,1960,ETHEL,09-12-60,09-17-60,9/12 - 9/17,100,974.0,Hurricane
94,1960,FLORENCE,09-17-60,09-26-60,9/17 - 9/26,50,1000.0,Tropical Storm
95,1961,ANNA,07-17-61,07-25-61,7/17 - 7/25,90,976.0,Hurricane
96,1961,BETSY,09-02-61,09-16-61,9/2 - 9/16,115,945.0,Hurricane
97,1961,CARLA,09-03-61,09-18-61,9/3 - 9/18,125,927.0,Hurricane
98,1961,DEBBIE,09-05-61,09-18-61,9/5 - 9/18,80,961.0,Hurricane
99,1961,ESTHER,09-10-61,09-27-61,9/10 - 9/27,140,919.0,Hurricane
100,1961,FRANCES,09-30-61,10-10-61,9/30 - 10/10,115,948.0,Hurricane
101,1961,GERDA,10-17-61,10-22-61,10/17 - 10/22,65,988.0,Tropical Storm
102,1961,HATTIE,10-26-61,11-01-61,10/26 - 11/1,145,914.0,Hurricane
103,1961,SIMONE,11-01-61,11-03-61,11/1 - 11/3,45,,Tropical Storm
104,1961,INGA,11-04-61,11-08-61,11/4 - 11/8,60,997.0,Tropical Storm
105,1961,JENNY,11-02-61,11-11-61,11/2 - 11/11,70,974.0,Hurricane
106,1962,BECKY,08-27-62,09-01-62,8/27 - 9/1,50,,Tropical Storm
107,1962,ALMA,08-26-62,09-02-62,8/26 - 9/2,75,984.0,Hurricane
108,1962,CELIA,09-12-62,09-21-62,9/12 - 9/21,60,995.0,Tropical Storm
109,1962,DAISY,09-29-62,10-09-62,9/29 - 10/9,90,950.0,Hurricane
110,1962,ELLA,10-14-62,10-25-62,10/14 - 10/25,95,958.0,Hurricane
111,1963,ARLENE,07-31-63,08-14-63,7/31 - 8/14,100,969.0,Hurricane
112,1963,BEULAH,08-20-63,09-08-63,8/20 - 9/8,105,958.0,Hurricane
113,1963,CINDY,09-16-63,09-20-63,9/16 - 9/20,55,996.0,Tropical Storm
114,1963,DEBRA,09-19-63,09-24-63,9/19 - 9/24,65,999.0,Hurricane
115,1963,EDITH,09-23-63,09-29-63,9/23 - 9/29,85,990.0,Hurricane
116,1963,FLORA,09-28-63,10-17-63,9/28 - 10/17,130,933.0,Hurricane
117,1963,GINNY,10-17-63,10-30-63,10/17 - 10/30,95,948.0,Hurricane
118,1963,HELENA,10-25-63,10-30-63,10/25 - 10/30,45,1002.0,Tropical Storm
119,1964,ABBY,08-05-64,08-08-64,8/5 - 8/8,60,1000.0,Tropical Storm
120,1964,BRENDA,08-08-64,08-10-64,8/8 - 8/10,45,1006.0,Tropical Storm
121,1964,FLORENCE,09-05-64,09-10-64,9/5 - 9/10,40,1003.0,Tropical Storm
122,1964,CLEO,08-20-64,09-11-64,8/20 - 9/11,130,938.0,Hurricane
123,1964,DORA,08-28-64,09-16-64,8/28 - 9/16,115,942.0,Hurricane
124,1964,ETHEL,09-04-64,09-17-64,9/4 - 9/17,90,969.0,Hurricane
125,1964,GLADYS,09-13-64,09-25-64,9/13 - 9/25,115,945.0,Hurricane
126,1964,HILDA,09-28-64,10-07-64,9/28 - 10/7,120,941.0,Hurricane
127,1964,ISBELL,10-09-64,10-16-64,10/9 - 10/16,100,964.0,Hurricane
128,1965,ANNA,08-21-65,08-26-65,8/21 - 8/26,90,,Hurricane
129,1965,BETSY,08-27-65,09-13-65,8/27 - 9/13,120,942.0,Hurricane
130,1965,DEBBIE,09-24-65,09-30-65,9/24 - 9/30,50,1000.0,Tropical Storm
131,1965,CAROL,09-16-65,10-03-65,9/16 - 10/3,80,974.0,Hurricane
132,1965,ELENA,10-12-65,10-20-65,10/12 - 10/20,95,977.0,Hurricane
133,1966,ALMA,06-05-66,06-14-66,6/5 - 6/14,100,970.0,Hurricane
134,1966,BECKY,06-30-66,07-03-66,6/30 - 7/3,75,984.0,Hurricane
135,1966,CELIA,07-13-66,07-22-66,7/13 - 7/22,65,994.0,Hurricane
